,path,label,bug_issue,hours_to_resolution,avg_hours_to_resolution,num_of_modified_files_issues,number_of_issue_report,bug_commit,number_of_commit_report,complexity,sum_added_lines,sum_deleted_lines,sum_num_lines,num_of_developers
112,ApacheRepos/netbeans/php/php.editor/src/org/netbeans/modules/php/editor/parser/ASTPHP5Parser.java,1,0,0.0,0.0,0,0,2,7,693,325,41,2972,4
113,ApacheRepos/netbeans/php/php.editor/src/org/netbeans/modules/php/editor/parser/ASTPHP5Scanner.java,1,0,0.0,0.0,0,0,1,5,198,350,40,1139,4
114,ApacheRepos/netbeans/php/php.editor/src/org/netbeans/modules/php/editor/parser/ASTPHP5Symbols.java,1,0,0.0,0.0,0,0,2,7,693,325,41,2972,4
115,ApacheRepos/netbeans/php/php.latte/src/org/netbeans/modules/php/latte/lexer/LatteMarkupColoringLexer.java,1,0,0.0,0.0,0,0,0,2,26,174,39,174,2
116,ApacheRepos/netbeans/php/php.latte/src/org/netbeans/modules/php/latte/lexer/LatteTopColoringLexer.java,1,0,0.0,0.0,0,0,0,2,26,174,39,174,2
117,ApacheRepos/netbeans/php/php.twig/src/org/netbeans/modules/php/twig/editor/lexer/TwigBlockColoringLexer.java,1,0,0.0,0.0,0,0,0,2,26,174,39,174,2
118,ApacheRepos/netbeans/php/php.twig/src/org/netbeans/modules/php/twig/editor/lexer/TwigTopColoringLexer.java,1,0,0.0,0.0,0,0,0,2,26,174,39,174,2
119,ApacheRepos/netbeans/php/php.twig/src/org/netbeans/modules/php/twig/editor/lexer/TwigVariableColoringLexer.java,1,0,0.0,0.0,0,0,0,2,26,174,39,174,2
120,ApacheRepos/netbeans/platform/api.htmlui/test/unit/src/org/netbeans/api/htmlui/AskQuestion.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
121,ApacheRepos/netbeans/webcommon/javascript2.jade/src/org/netbeans/modules/javascript2/jade/editor/lexer/JadeColoringLexer.java,1,0,0.0,0.0,0,0,0,2,26,174,39,174,2
122,ApacheRepos/netbeans/webcommon/javascript2.lexer/src/org/netbeans/modules/javascript2/lexer/JsColoringLexer.java,1,0,0.0,0.0,0,0,0,2,26,174,39,174,2
123,ApacheRepos/netbeans/webcommon/javascript2.lexer/src/org/netbeans/modules/javascript2/lexer/JsDocumentationColoringLexer.java,1,0,0.0,0.0,0,0,0,2,26,174,39,174,2
124,ApacheRepos/netbeans/webcommon/languages.apacheconf/src/org/netbeans/modules/languages/apacheconf/lexer/ApacheConfColoringLexer.java,1,0,0.0,0.0,0,0,0,2,26,174,39,174,2
125,ApacheRepos/netbeans/webcommon/languages.ini/src/org/netbeans/modules/languages/ini/lexer/IniColoringLexer.java,1,0,0.0,0.0,0,0,0,2,26,174,39,174,2
126,ApacheRepos/ant/src/tests/junit/org/apache/tools/ant/taskdefs/FailTest.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
127,ApacheRepos/incubator-linkis/linkis-public-enhancements/linkis-datasource/linkis-datasource-manager/common/src/main/java/org/apache/linkis/datasourcemanager/common/domain/DatasourceVersion.java,1,1,1.45,0.001674364896073903,866,1,0,0,0,0,0,0,0
128,ApacheRepos/harmony/classlib/modules/sql/src/main/java/java/sql/Connection.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
129,ApacheRepos/harmony/classlib/modules/swing/src/main/java/common/javax/swing/text/html/parser/ElementsHandler.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
130,ApacheRepos/harmony/classlib/modules/swing/src/main/java/common/javax/swing/text/html/parser/Lexer.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
131,ApacheRepos/harmony/classlib/modules/swing/src/main/java/common/javax/swing/text/html/parser/Parser.java,1,1,89.17,0.02676170468187275,3332,1,0,0,0,0,0,0,0
132,ApacheRepos/harmony/classlib/modules/swing/src/main/java/common/javax/swing/text/html/parser/ParserCup.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
133,ApacheRepos/harmony/classlib/modules/swing/src/main/java/common/javax/swing/text/html/parser/ParserSym.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
134,ApacheRepos/sling-org-apache-sling-servlets-post/src/main/java/org/apache/sling/servlets/post/impl/SlingPostServlet.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
135,ApacheRepos/shiro-site/src/site/assets/static/1.3.0/shiro-all/jacoco-aggregate/shiro-core/org.apache.shiro.crypto/JcaCipherService.java.html,1,0,0.0,0.0,0,0,0,2,0,676,0,0,1
136,ApacheRepos/shiro-site/src/site/assets/static/1.3.0/shiro-core/jacoco/org.apache.shiro.crypto/JcaCipherService.java.html,1,0,0.0,0.0,0,0,0,2,0,676,0,0,1
137,ApacheRepos/shiro-site/src/site/assets/static/1.3.1/shiro-all/jacoco-aggregate/shiro-core/org.apache.shiro.crypto/JcaCipherService.java.html,1,0,0.0,0.0,0,0,0,2,0,676,0,0,1
138,ApacheRepos/shiro-site/src/site/assets/static/1.3.1/shiro-core/jacoco/org.apache.shiro.crypto/JcaCipherService.java.html,1,0,0.0,0.0,0,0,0,2,0,676,0,0,1
139,ApacheRepos/shiro-site/src/site/assets/static/1.3.2/shiro-all/jacoco-aggregate/shiro-core/org.apache.shiro.crypto/JcaCipherService.java.html,1,0,0.0,0.0,0,0,0,2,0,676,0,0,1
140,ApacheRepos/shiro-site/src/site/assets/static/1.3.2/shiro-core/jacoco/org.apache.shiro.crypto/JcaCipherService.java.html,1,0,0.0,0.0,0,0,0,2,0,676,0,0,1
